,clear,total
44,京东,52
180,好,36
430,虾,30
34,买,29
129,吃,26
20,不错,20
329,活动,15
30,个头,15
431,虾仁,14
278,新鲜,13
374,生鲜,12
365,特别,12
307,正大,11
23,东西,11
183,好吃,11
151,回购,10
105,包装,10
393,真的,10
362,物流,10
450,购买,10
222,很大,10
233,快递,10
47,价格,9
266,收到,8
229,快,7
137,味道,7
309,每次,6
41,产品,6
221,很多,6
50,优惠,6
451,购物,6
297,服务,6
123,口感,6
14,下单,6
476,送货,5
482,配送,5
424,自营,5
456,超市,5
172,大虾,5
86,冻,5
328,活冻,5
326,泰国,5
475,送来,5
341,满意,5
449,质量,5
435,虾肉,5
481,速度,4
58,便宜,4
474,送到,4
193,实惠,4
63,保障,4
373,生活,4
146,喜欢,4
184,好评,4
214,干净,4
466,还会,4
139,品质,4
158,基本上,4
200,家里,4
338,滑,4
380,白虾,4
441,解冻,4
260,推荐,4
78,冰,3
81,冰箱,3
102,力,3
121,发货,3
83,冷冻,3
145,商城,3
417,给力,3
153,囤货,3
454,赶上,3
453,赞,3
76,再次,3
97,分量,3
462,过年,3
131,合适,3
243,感觉,3
364,特价,3
355,煮,3
279,方便快捷,3
15,下次,3
13,下午,3
358,牌子,3
494,青素,3
263,搞,3
503,饱满,3
203,小哥,3
265,支持,3
216,年货,3
318,没,3
17,不小,3
281,日期,2
415,细节,2
335,清清楚楚,2
411,红烧,2
416,结实,2
201,家里人,2
283,早上,2
160,增加,2
144,商品,2
290,时间,2
142,售后服务,2
421,羊肉,2
294,晚上,2
296,朋友,2
298,服务态度,2
303,棒棒,2
270,放心,2
170,大大的,2
409,紧致弹,2
163,多买,2
378,白对虾,2
386,看着,2
390,真心,2
224,很快,2
228,忍不住,2
190,完整,2
235,态度,2
236,性价比,2
239,惊喜,2
182,好几,2
242,想象,2
247,打开,2
179,头,2
349,烤,2
176,太好了,2
256,挺,2
261,描述,2
171,大小,2
165,多袋,2
219,弹性,2
515,麻烦,2
470,这次,2
473,进口,2
445,试试,2
98,划算,2
96,分装,2
91,几年,2
90,几包,2
87,冻得,2
457,足,2
75,关键,2
71,做菜,2
67,值得,2
57,便利,2
440,解决,2
479,适合,2
480,选择,2
484,酸奶,2
42,产品质量,2
492,隔天,2
500,食材,2
19,不用,2
505,高,2
6,一盘,2
2,一块,2
111,单,2
155,图片,2
113,卖家,2
438,袋,2
114,南美,2
434,虾线,2
119,原先,2
439,要备,2
132,同事,2
345,炒,1
344,火锅,1
422,肉质,1
493,需,1
343,火腿,1
412,约,1
346,炒菜,1
342,满满的,1
496,面料,1
497,顶级,1
498,颗,1
340,满分,1
339,满,1
499,食品,1
495,非常感谢,1
347,点个,1
491,随时,1
337,渠道,1
359,牛排,1
486,野生,1
432,虾化,1
487,量,1
357,爽口,1
356,爱,1
488,钱,1
489,铁板,1
354,焖,1
353,烹饪,1
352,烹着,1
351,烧汤,1
350,烤箱,1
490,长,1
348,点赞,1
429,蘸,1
334,清水,1
336,清蒸,1
501,食物,1
321,没想到,1
510,鲜味,1
320,没得说,1
511,鲜嫩,1
512,鲜甜,1
319,没化,1
513,鲜花,1
317,沐浴露,1
316,汤,1
514,鲜香,1
315,水煮,1
314,水果,1
313,水产,1
425,节假日,1
312,比起,1
322,没称,1
323,没货,1
509,鱼虾,1
504,香辣虾,1
360,牛肉,1
333,清晰,1
332,液氮,1
502,食用,1
423,能为,1
331,海鲜,1
330,活虾,1
324,油,1
428,薄,1
506,高倍,1
507,高峰,1
327,洗发水,1
508,鱼,1
325,油焖,1
485,酸辣,1
420,羊排,1
361,物方,1
433,虾皮,1
414,纸巾,1
452,购进,1
398,神速,1
455,超,1
397,神兽,1
396,碰到,1
395,硬邦邦的,1
394,硬,1
392,真材实料,1
391,真快,1
458,较大,1
459,辛苦,1
389,真大,1
388,真不错,1
387,真,1
399,穿,1
400,符合,1
311,比维,1
406,米油,1
410,紫菜汤,1
443,认真负责,1
444,认证,1
408,紧实,1
413,纯正,1
407,精致,1
405,筛选,1
401,第三次,1
404,第二次,1
446,诱人,1
447,货,1
448,货品,1
403,第二家,1
402,第二天,1
460,过克,1
385,省去,1
461,过后,1
367,特大号,1
370,猪肉饼,1
426,菜品,1
471,这款,1
369,猪肉,1
472,这虾,1
368,状态,1
366,特大,1
371,王虾,1
436,虾饺,1
477,送货到,1
478,送货员,1
363,物超所值,1
442,解答,1
483,酱油,1
469,这下,1
372,生,1
437,融化,1
379,白煮,1
384,相符,1
463,过次,1
383,盒装,1
382,盐,1
381,皮,1
464,过瘾,1
465,运输,1
419,缩水,1
377,疫情,1
376,电话,1
375,用来,1
418,综艺,1
467,还放,1
468,还要,1
427,菜市场,1
0,一个,1
310,比到,1
94,出门,1
109,升,1
108,十足,1
107,十袋,1
106,十多,1
104,劲,1
103,加工,1
101,到手,1
100,到位,1
99,刚好,1
95,分,1
93,几袋,1
112,单独,1
92,几次,1
89,几份,1
88,凑单,1
85,冷链,1
84,冷藏箱,1
82,冰袋,1
80,冰柜,1
79,冰冰凉,1
77,冠名,1
74,关注,1
110,半价,1
115,卡,1
154,国际,1
134,同批,1
150,回来,1
149,回复,1
148,嚼,1
147,喝完,1
143,唯一,1
141,售后,1
140,哥哥,1
138,味道鲜美,1
136,告诉,1
135,含冰量,1
133,同意,1
116,卫生,1
130,吃光,1
128,号,1
127,可靠,1
126,可比,1
125,可惜,1
124,只能,1
122,变质,1
120,又快又好,1
118,厘米,1
117,卷,1
73,公道,1
72,全程,1
70,做法,1
21,东,1
33,习惯,1
32,中要,1
31,中不像,1
29,严实,1
28,两顿,1
27,两次,1
26,两样,1
25,两个,1
24,两三次,1
22,东京,1
18,不想,1
69,做成,1
16,下锅,1
12,上次,1
11,上午,1
10,三次,1
9,一袋,1
8,一虾,1
7,一看,1
5,一盒,1
4,一点,1
3,一如既往,1
35,买买,1
36,买断,1
37,买活,1
38,买点儿,1
68,做个,1
66,值友们,1
65,信赖,1
64,信任,1
62,保险箱,1
61,保证,1
60,保健作用,1
59,促销,1
56,依然,1
55,作馅,1
54,作用,1
53,体验,1
52,低,1
51,优惠活动,1
49,份量,1
48,价格便宜,1
46,仓库,1
45,介绍,1
43,京,1
40,交替,1
39,买菜,1
152,囤,1
156,圈,1
308,正好,1
253,担心,1
